Identifiant;Titre;Date;Auteur;PaysENG;Source;Issn;Vl;Num;Pagination;Langue;Resume;Thematique;TNP;SousThematique;STNP;MotCle;Url
PASCAL/FRANCIS:13-0336971;Selling Greenland: The Big Picture Television Series and the Army's Bid for Relevance during the Early Cold War;2013;KINNEY (D. J.);UNITED STATES;Centaurus : (Copenhagen);0008-8994;55;3;344-357;Anglais;<Resume>With an increased emphasis on air defense and missile technology at the outset of the Cold War, the role of the US Army's conventional ground forces seemed in doubt. The US Air Force achieved a position of primacy among the armed forces as it expanded its reach into outer space with a new ballistic missile force, while the US Navy set about a project of seafaring exploration and militarization with the submerged trans-polar crossings. To counter this perception, the US Army mounted a campaign to prove its relevance in matters of technology and national defense. The key technical vehicle in this endeavor would prove to be mass media, and the staging area for the effort would be Greenland. Greenland would be the venue for the Army's most audacious appeals to the American people and the Congress to recognize its relevance to Cold War science and technology. Greenland would be called a 'forward defense system,' and a 'cordon against aggression,' and while the Air Force's bombers would be stationed on the coast at Thule, the Greenland icecap would be the realm of the US Army alone.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;HISTORY OF SCIENCE AND TECHNOLOGY;History of Science and Technology;"Histoire des sciences; Histoire des techniques";http://dx.doi.org/10.1111/1600-0498.12022
PASCAL/FRANCIS:13-0287870;Narrative theme navigation for sitcoms supported by fan-generated scripts: Video navigation based on acoustic detection of actors and narrative elements;2013;"FRIEDLAND (Gerald); GOTTLIEB (Luke); JANIN (Adam)";UNITED STATES;Multimedia tools and applications;1380-7501;63;2;387-406;Anglais;"<Resume>The following article provides the definitive description of the complete Joke-O-Mat system to navigate sitcoms as presented briefly in Friedland et al. (2009) and extended in Janin et al. (2010), which was augmented with fan-generated scripts as described in Friedland et al. (2010). The system with the extension allows a user to browse a sitcom by scene, punchline, and dialog segment, and to filter these themes by actor and by keyword. For example, the user can choose to watch only punchlines by the character ""Kramer"" that contain the word ""armoire"". The system infers the narrative themes and provides word-level search by automatically aligning the output of a speaker identification system and a speech recognizer to both closed captions and scripts generated by fans on the Internet. The segmentations produced by this system have proven to be indistinguishable from expert-generated segmentations, and require significantly less time to produce. The article describes the original and the extended Joke-O-Mat (http://www.icsi.berkeley.edu/jokeomat/) system, discusses problems with the use of fan-generated content, and presents results on episodes from the sitcom Seinfeld with regards to segmentation accuracy and overall user satisfaction as determined by a human-subject study.</Resume>";APPLIED SCIENCES;Applied Sciences;COMPUTER SCIENCE. CONTROL THEORY. SYSTEMS;Computer Science. Control Theory. Systems;"Acoustique; Aide navigation; Assistance utilisateur; Besoin de l'utilisateur; Détection acoustique; Expert; Indistinguabilité; Interface utilisateur; Internet; Mot clé; Narration; Navigation information; Reconnaissance locuteur; Reconnaissance parole; Réseau social; Satisfaction; Segmentation image; Signal vidéo; Sous titrage; Télévision";http://dx.doi.org/10.1007/s11042-011-0877-z
PASCAL/FRANCIS:13-0254792;Faire des sciences sociales : Critiquer;2012;;;Cas de figure;1764-3961;21;;;Français;<Resume>L'exigence critique est un des fondements de la pratique des sciences sociales. Il s'agit d'une nécessité technique qui doit intervenir à tous les stades de la production de connaissances, sans quoi l'on prend le risque de retomber dans une compréhension ordinaire du monde social façonné par nos prénotions. Cette démarche est indispensable dans la pratique quotidienne du chercheur en sciences sociales pour penser autrement, débusquer les erreurs et produire une connaissance susceptible de provoquer le débat public, en prenant conscience des ses effets politiques.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"11 Septembre 2001; Analyse de discours; Anthropologie; Argumentation; Biais; Cosmopolitisme; Critique; Critique de la connaissance; Débat public; Epistémologie; Expertise; Histoire; Histoire de l'art; Linguistique; Logicisme; Méthodologie; Redevabilité; Sciences sociales; Sociologie critique; Sociologie de la médecine; Série télévisée";http://editions.ehess.fr/ouvrages/ouvrage/faire-des-sciences-sociales/
PASCAL/FRANCIS:13-0245748;No Woman is an Island: Heroes, Heroines and Power in the Gendered World of Lost;2013;BROOKFIELD (Tarah);CANADA;Journal of popular culture;0022-3840;46;2;315-337;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Américain; Genre; Héros; Héroïne; Pouvoir; Représentation; Série télévisée; Amérique du Nord; Etats-Unis";http://dx.doi.org/10.1111/jpcu.12028
PASCAL/FRANCIS:13-0233940;SUBJECTS OF DISTANCE: The modernity of the Australian country girl;2013;DRISCOLL (Catherine);AUSTRALIA;Cultural studies;0950-2386;27;2;186-206;Anglais;<Resume>The rural is widely associated with traditions that modernity is presumed to disrupt or displace. But rurality is an idea produced by modernity, and endlessly engaged in and by dialogues about modernization. This paper considers the figure of the country girl as an image of distance from modernity. Insofar as she is always coming from the outside of a presumed modern identity and experience that is fixed by its urbanity, the country girl in Australian popular culture clearly has parallels in other places and other cultures. My focus here is on the difference the country girl articulates in a broad Asian-Pacific context discussed as coming 'late' to modernity. The country girl is always arriving at an encounter with modernity that identifies what modernity costs and what it offers. Her difference is not only a dramatic foil that throws the subject of modernity into sharp relief but offers up stories about modernity as something that must be learned.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Culture populaire; Etudes culturelles; Fille; Folk culture; Féminité; Modernité; Ruralité; Série télévisée; Océanie";http://cat.inist.fr/?aModele=afficheN&cpsidt=27194567
PASCAL/FRANCIS:13-0202741;Les productions télévisées, genre oublié dans la construction de l’image d’un territoire ? L’exemple de co-construction de l’image socioculturelle de la ville de Marseille par la série Plus belle la vie : Images de territoires et travail territorial des médias;2011;BRYON-PORTET (Céline);FRANCE;Etudes de communication;1270-6841;;37;;Français;<Resume>A l'inverse de la plupart des études actuellement menées par les sciences de l'information et de la communication, qui proposent d'analyser les modalités de co-construction de l'image d'une ville ou d'une région par les acteurs institutionnels et les médias locaux (collectivités publiques et territoriales, journalistes...), notre étude s'intéresse au rôle déterminant que peuvent jouer dans ce processus certaines productions cinématographiques et télévisées. Elle s'attache à montrer, en effet, comment la série française Plus belle la vie, dont le succès a dépassé les limites de l'Hexagone, participe de la co-construction de l'image socioculturelle de la ville de Marseille, analysant notamment les éléments réels et fictifs sur lesquelles cette image est construite, les mécanismes psychologiques et les enjeux sociétaux qu'elle met en avant.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Construction de la réalité; Culture populaire; Feuilleton télévisé; Fiction; Identité territoriale; Imaginaire collectif; Média; Représentation sociale; Série télévisée; Territoire; Ville; Marseille";http://edc.revues.org/3071
PASCAL/FRANCIS:13-0201838;La démarche éthique appliquée à la série Urgences;2013;SVANDRA (Philippe);;Revue de l'Infirmière;1293-8505;;191;31-33;Français;<Resume>Des philosophes se sont intéressés dernièrement aux séries télévisuelles, notamment américaines. Au delà du divertissement, la série Urgences peut être l'occasion de réfléchir à des dilemmes éthiques. Exemple d'un épisode dans lequel un patient atteint d'une maladie incurable ne peut exprimer son avis clairement, est trachéotomisé sans le consensus de l'équipe et de la personne de confiance. (Introd.)</Resume>;MEDICAL SCIENCES;Medical Sciences;PUBLIC HEALTH. HYGIENE-OCCUPATIONAL MEDICINE;Public Health. Hygiene-Occupational Medicine;"Autonomie; Consentement éclairé; Ethique; Etude de cas; Support; Technique vidéo; Trachéotomie; France";http://dx.doi.org/10.1016/j.revinf.2013.02.029
PASCAL/FRANCIS:13-0198166;The Americanization of Emma Bovary: From Feminist Icon to Desperate Housewife;2013;LEONARD (Suzanne);UNITED STATES;Signs : (Chicago, Ill.);0097-9740;38;3;647-669;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Américanisation; Culture de masse; Culture populaire; Emancipation féminine; Femme; Fiction; Folk culture; Féminisme; Héroïne; Madame Bovary; Ménagère; Personnage littéraire; Post-féminisme; Rôle féminin; Série télévisée; Etats-Unis";http://www.jstor.org/discover/10.1086/668551?uid=3738016&uid=2129&uid=2&uid=70&uid=4&sid=21106023080003
PASCAL/FRANCIS:13-0196955;Cultura bioética y conceptos de enfermedad: el caso House;2010;"CASADO DA ROCHA (Antonio); SABORIDO (Cristian)";SPAIN;Isegoría : (Madrid);1130-2097;;42;279-295;Anglais;<Resume>In between applied ethics and cultural studies of popular representations of science in the media, this paper proposes a concept of «bioethical culture» and applies it to House, M.D., the successful TV medical drama. Our analysis of the series shows that the current tension between paternalism and autonomy - both in bioethical theory and health care practice - is related to an on-going argument in philosophy of medicine between naturalist and normativist concepts of health and disease. We argue for an expansion of the concept of patient autonomy so that this tension might be partly resolved in theory and in practice.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Autonomie; Bioéthique; Culture professionnelle; Dr House; Ethique; Ethique médicale; Etudes culturelles; Fiction; Malade; Maladie; Médecine; Naturalisme; Normativisme; Patient; Représentation sociale; Série télévisée";http://dx.doi.org/10.3989/isegoria.2010.i42.696
PASCAL/FRANCIS:13-0188408;CULTURES POPULAIRES, CRITIQUE ORDINAIRE UNE PHILOSOPHIE DES GENRES MINEURS;2013;LAUGIER (Sandra);;Enquête - École des hautes études en sciences sociales;1629-7121;10;;;Français;<Resume>La réflexion sur la culture populaire, et sur ses objets ordinaires comme le cinéma dit « grand public», induit une transformation de la théorie et de la critique dont l'auteur souhaite rendre compte ici, dans le sillage de la pensée de Stanley Cavell, qui définit, dans son ouvrage classique Les Voix de la raison, la philosophie comme « éducation des adultes », motivant son ambition dans ses grands ouvrages sur le cinéma, La projection du monde, À la recherche du bonheur et La protestation des larmes, de donner à la culture populaire la fonction de nous métamorphoser, dans une mise en acte du « perfectionnisme moral » d'Emerson et de Thoreau. Les films populaires, et les séries télévisées, ouvrent en effet vers un dépassement des conceptions morales classiques, fondées sur le jugement et le choix, et vers des approches morales différentes et plus démocratiques: expressions et réactions naturelles, manières d'être, texture mouvante des personnalités, constitution des caractères dans la longue durée, expression d'une vision du monde par l'expressivité singulière. On explore ainsi la possibilité de description et de mise en évidence de ce qui compte pour le public. Cette priorité de l'important et du mattering, sur le beau et le vrai comme concepts gouvernant l'expérience ordinaire, est le c?ur de la définition d'une culture de l'ordinaire.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Cavell (S.); Cinéma; Culture populaire; Jugement; Morale; Philosophie; Série télévisée; Théorie";http://editions.ehess.fr/ouvrages/ouvrage/les-theories-ordinaires/
PASCAL/FRANCIS:13-0187139;White like them: Whiteness and anachronistic space in representations of the English white working class;2012;LAWLER (Steph);UNITED KINGDOM;Ethnicities : (London);1468-7968;12;4;409-426;Anglais;<Resume>Themes of whiteness have informed many recent discussions of English national identity, yet the whiteness in question is attached to some groups but not others. In particular, whiteness is emblematically attached to members of the white working class, so that the whiteness of the middle classes becomes obscured. This paper is concerned with representations of white working-class people in the context of recent media and other discussions of English national identity. Hence, it is concerned not with the actions or sentiments of working-class people themselves, but with their positioning (by middle-class commentators) within an economy of cultural meaning around definitions of nation, multiculturalism and identity. Using press discussion of the BBC's 'White Season' as a framing device, I argue that whiteness has come to be a signifier of white working-class existence. In this context, 'white' has shifted its meaning from something normal, normative and unmarked - Dyer's 'ordinary whiteness/whiteness as ordinary' - to a marked - and markedly problematic - category that is applied only to some white people, who become bearers of 'extreme whiteness'. This marking is linked with a positioning in the past, so that white working-class people can be marked as inhabiting 'anachronistic space'.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Anachronisme; Blancs; Classe sociale; Modernité; Progrès; Représentation; Série télévisée; Angleterre; Europe occidentale";http://dx.doi.org/10.1177/1468796812448019
PASCAL/FRANCIS:13-0167369;Unexpected enchantment in unexpected places: Mormonism in Battlestar Galactica;2013;NEUMANN (Iver B.);NORWAY;European journal of cultural studies : (Print);1367-5494;16;2;226-243;Anglais;<Resume>The study of religion leads a curiously secluded life within intellectual circles. This article argues that this is to our loss, particularly on the part of students of popular culture, since a number of the most widely discussed artefacts depend on religious themes for their effect. Taking note of the largely non-religious reception of one TV show, the reimagined Battlestar Galactica, the article offers a detailed reading of its constitutive religious narrative, aiming to demonstrate how this narrative owes very much indeed to Mormon theology. In conclusion, the article argues that intellectuals need to regain the skills needed to identify and analyse religious thinking, lest we miss the hermeneutic level on which religiously based artefacts are actually consumed by many viewers.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Consommation culturelle; Feuilleton télévisé; Mormon; Nouveaux mouvements religieux; Pensée religieuse; Religion; Science fiction";http://dx.doi.org/10.1177/1367549412467176
PASCAL/FRANCIS:13-0167368;Telenovelas and society: Constructing and reinforcing the nation through television fiction;2013;MERAYO (Mar Chicharro);SPAIN;European journal of cultural studies : (Print);1367-5494;16;2;211-225;Anglais;<Resume>This study focuses on certain aspects of the socialising function exerted by the medium of television. More specifically, it examines in detail some of the televisual strategies used by Spanish public television to reinforce the idea of Spain as 'state' and 'nation'. To achieve this, the study analyses two telenovelas produced in Spain, La Señora (The Lady) and Amar en tiempos revueltos (Loving in Troubled Times), which represent the adaptation of the genre to the cultural characteristics of its target audience. Although both series adhere to the principal rules of this melodramatic formula, they propose, in a similar way, an exercise of interpreting the country's recent history. They explain and interpret the past of this society, thus justifying the collective present day. The analysis of both texts allows us to identify some of the semantic keys used today by the television media to evoke and legitimate the idea of the Spanish nation.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Etat-nation; Feuilleton télévisé; Fonction sociale; Identité culturelle; Socialisation; Telenovela; Télévision; Espagne";http://dx.doi.org/10.1177/1367549412467178
PASCAL/FRANCIS:13-0140035;Le retour du primetime: Une histoire de la programmation des séries télévisées étrangères à la télévision française;2012;BARTHES (Séverine);FRANCE;Communication et langages;0336-1500;;174;;Français;<Resume>Séverine Barthes revient sur un préjugé couramment répandu parmi les amateurs de séries télévisées, qu'ils soient téléspectateurs ou professionnels des médias. On entend souvent dire que la principale innovation dans la programmation des séries télévisées étrangères ces dernières années a été leur diffusion le dimanche en première partie de soirée sur TF1, qui aurait peu à peu contaminé le reste de la grille de toutes les chaînes. Or, une vision rétrospective de leur programmation montre que ces fictions ont toujours été présentes en primetime à la télévision française. Séverine Barthes revient avec précision sur l'histoire de la programmation des séries télévisées étrangères à la télévision française, en s'intéressant notamment aux conditions économiques et juridiques dans lesquelles se développent les stratégies de production et de diffusion.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Diffusion; Etranger; Historique; Horaire; Programmation; Série télévisée; France";http://dx.doi.org/10.4074/S0336150012014093
PASCAL/FRANCIS:13-0127976;Community as context: EastEnders, public service and neoliberal ideology;2013;"LAMUEDRA (Maria); O'DONNELL (Hugh)";"SPAIN; UNITED KINGDOM";European journal of cultural studies : (Print);1367-5494;16;1;58-76;Anglais;<Resume>This article uses 21 in-depth interviews with viewers of the British soap opera EastEnders to investigate the extent to which it can be described, in particular through its handling of social issues, as a site of cultural citizenship and, via the concept of public service, of resistance to the current neoliberal hegemony. The article's analysis of viewers' talk confirms previous claims that EastEnders mobilises a nostalgic sense of community with which viewers identify, and goes on to argue that this is in fact a cultural expression of a social-democratic worldview which has lost its once-hegemonic position. Following a comparison of the British and the highly commercialised Spanish media ecosystems and their corresponding popular public spheres, the article concludes that a commitment to public service ideals contributes to sustaining spaces which, like EastEnders, can work as counter-hegemonic sites to the cultural logic of late capitalism.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Analyse de discours; Citoyenneté; Communauté; Feuilleton télévisé; Idéologie culturelle; Idéologie politique; Média; Néolibéralisme; Résistance; Service public; Social-démocratie; Sphère publique; Royaume-Uni";http://dx.doi.org/10.1177/1367549412457479
PASCAL/FRANCIS:13-0118137;The good, the bad or the queer: Articulations of queer resistance in The Wire;2012;"DHAENENS (Frederik); VAN BAUWEL (Sofie)";BELGIUM;Sexualities : (London);1363-4607;15;5-6;702-717;Anglais;<Resume>Although the representation of queer characters has grown significantly in contemporary western television, most of the popular fiction series are still dominated by hegemonic heteronormative discourses. However, this article demonstrates how the critically acclaimed series The Wire, through its subversive articulations of queer characters, resists heteronormativity. This implies that the series can be read as a defiance of an essentialist, hierarchical and oppositional way of thinking. Our textual thematic analysis reveals how the series uses both deconstructive practices that expose the way heteronormative practices function, and reconstructive practices offering counter-discourses that transgress societal assumptions about gender, sexuality and identity.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Hétéronormativité; Identité; Représentation; Sexualité; Série télévisée; Théorie queer";http://dx.doi.org/10.1177/1363460712446280
